concentration(ppm),temperature,Dose(mol%),response
11.46,330.8,5,2.51
11.24,338.27,3,3.95
20.19,342.31,3,4.76
37.87,286.32,1,4.8
25.97,286.24,5,3.6
17.24,196.84,5,2.54
25.02,285.94,3,5.76
44.68,184.78,5,5.42
12.22,85.46,5,2.13
25.71,285.4,0,4.15
14.28,65.15,1,1.84
18.31,195.47,3,4.18
49.83,386.65,3,9.64
39.12,128.45,3,6.95
29.95,76.31,5,3.94
30.57,144.66,5,4.1
4.1,305.5,0,0.41
30.91,106.03,3,6.51
22.54,160.07,3,4.9
18.91,354.52,3,4.71
11.88,215.0,0,1.08
29.63,55.83,3,6.2
36.39,184.3,0,6.5
36.35,299.35,5,4.99
21.72,376.01,3,4.96
32.05,231.73,1,4.41
3.25,323.8,0,0.42
27.71,361.9,0,5.06
38.74,75.1,0,7.07
24.54,40.54,3,5.28
34.99,311.2,0,6.67
46.21,275.5,3,8.15
36.03,376.08,5,5.16
33.85,248.61,1,4.33
12.83,304.57,3,3.75
13.56,169.3,3,3.82
45.95,196.9,0,7.61
13.98,192.0,0,1.27
13.31,392.92,3,4.09
23.05,245.07,5,3.14
17.26,229.61,5,2.63
43.07,347.1,0,7.13
18.63,120.12,3,4.31
26.14,225.13,3,5.9
29.73,112.98,3,6.29
23.63,121.71,5,2.99
30.93,384.46,3,6.57
14.06,361.96,5,2.65
39.2,344.35,3,7.23
8.2,371.6,0,0.98
37.91,286.69,1,4.81
25.33,232.94,3,5.81
27.99,218.77,3,6.03
42.86,268.34,3,7.48
27.17,394.42,3,6.18
18.32,304.69,3,4.57
38.33,290.63,1,4.84
44.41,336.25,3,7.64
17.39,333.21,3,4.11
33.91,351.83,5,4.78
28.95,180.22,3,6.33
46.72,271.18,5,5.61
44.4,347.47,1,6.06
41.86,391.9,3,7.56
21.87,136.24,1,2.81
49.1,257.1,0,7.86
45.05,361.27,3,7.84
18.71,150.23,3,4.38
21.59,133.62,1,2.85
11.07,373.22,3,3.84
10.32,139.09,5,1.97
19.82,364.81,3,4.73
24.08,369.54,3,5.46
12.83,122.8,0,1.3
49.98,46.4,5,5.34
11.24,335.78,5,2.24
29.79,210.53,1,3.97
39.17,105.88,5,5.33
25.27,171.17,3,5.48
9.83,131.7,0,0.82
41.54,33.86,5,5.09
33.87,28.88,3,6.31
25.69,172.07,1,3.41
33.58,85.27,3,6.44
22.21,139.43,1,2.9
25.23,185.66,3,5.53
12.32,46.76,1,1.65
32.59,236.79,1,4.29
40.68,312.58,1,5.15
11.17,208.89,3,4.0
16.52,232.88,5,2.67
38.21,153.64,3,6.62
39.68,251.31,3,6.82
27.09,185.21,1,3.71
30.31,215.41,1,4.05
46.95,102.02,3,8.21
37.51,351.53,5,5.22
44.06,141.93,5,5.46
33.22,278.26,3,6.6
