Temperature ,Cu Dose (mol%),Concentration (ppm),Response
160,2.67,83.47,301.37
240,1.94,92.65,207.22
200,0.2,24.69,236.29
280,3.47,70.61,152.49
200,1.05,85.31,289.84
280,1.54,13.67,98.47
160,1.45,74.29,270.51
120,3.96,63.27,264.24
120,1.74,61.43,247.0
240,1.94,11.84,166.15
120,3.52,74.29,274.24
240,1.78,43.06,178.68
120,1.62,24.69,225.62
160,1.9,10.0,249.11
160,1.21,79.8,267.4
160,2.46,68.78,290.17
240,2.34,68.78,203.95
240,1.09,85.31,182.58
120,1.21,57.76,232.04
280,3.31,37.55,137.36
160,3.52,88.98,305.09
160,2.14,41.22,269.83
280,2.67,76.12,153.95
280,0.73,61.43,101.78
120,1.9,52.24,245.71
240,0.65,72.45,164.88
240,2.02,88.98,206.9
200,3.76,87.14,325.69
120,1.01,83.47,239.51
160,0.16,90.82,244.1
240,0.65,52.24,154.41
200,1.58,83.47,302.35
120,2.18,30.2,241.01
200,4.0,54.08,306.93
240,2.63,63.27,206.65
200,1.78,50.41,289.92
160,3.68,57.76,288.15
200,0.08,13.67,227.24
160,3.88,96.33,305.53
120,3.88,10.0,238.32
280,2.55,61.43,143.99
120,2.18,11.84,231.72
200,1.13,41.22,270.01
200,3.03,21.02,300.33
120,1.45,70.61,244.87
160,0.32,98.16,252.41
160,2.67,50.41,284.89
160,0.73,96.33,262.96
200,1.82,35.71,283.77
120,3.39,88.98,282.71
280,2.02,46.73,125.65
200,1.62,46.73,285.14
280,0.36,22.86,71.74
120,0.16,55.92,202.68
280,0.73,39.39,90.62
280,2.91,55.92,148.38
200,0.89,77.96,282.21
160,3.52,59.59,290.96
200,2.99,70.61,325.21
200,2.51,24.69,293.15
120,1.98,32.04,237.42
120,1.7,59.59,244.87
240,3.27,85.31,221.91
120,2.91,92.65,286.77
240,2.87,98.16,229.12
240,1.86,11.84,164.89
200,1.21,10.0,256.31
120,3.31,43.06,260.22
200,1.62,41.22,282.03
240,1.37,55.92,175.33
200,2.26,68.78,310.4
280,2.26,85.31,150.02
200,2.51,68.78,314.97
280,2.99,61.43,152.99
160,2.95,52.24,291.14
200,4.0,13.67,286.71
280,0.53,10.0,70.38
200,0.77,55.92,267.93
200,2.51,65.1,313.64
120,3.6,88.98,280.48
200,2.87,90.82,332.78
280,3.47,21.02,127.48
280,3.72,17.35,123.32
240,3.8,13.67,181.12
200,2.71,98.16,333.55
120,2.87,94.49,286.53
280,0.4,94.49,108.96
240,0.53,72.45,161.63
200,0.08,90.82,265.54
200,2.51,19.18,290.28
240,2.14,59.59,194.96
120,0.69,65.1,222.16
240,3.6,48.57,200.06
200,2.18,17.35,282.99
120,2.3,59.59,258.14
160,1.82,33.88,258.99
240,1.66,83.47,195.93
200,0.24,26.53,238.21
160,1.17,92.65,272.6
240,1.94,22.86,172.05
120,2.63,94.49,282.03
120,1.62,22.86,224.67
200,1.45,100.0,307.4
160,2.95,24.69,277.12
200,1.62,19.18,271.09
120,3.27,59.59,268.71
160,0.28,37.55,221.23
120,1.13,11.84,207.36
160,0.24,11.84,207.26
240,3.15,90.82,225.84
240,3.31,70.61,213.94
120,3.72,85.31,277.42
120,2.91,52.24,266.31
160,3.31,63.27,294.9
160,3.19,11.84,269.93
120,0.89,90.82,240.76
240,0.93,66.94,169.92
240,2.71,96.33,224.69
120,2.1,21.02,234.94
160,2.59,35.71,276.24
200,1.09,32.04,264.43
280,1.29,17.35,94.03
240,3.31,92.65,225.19
280,3.68,96.33,163.38
280,0.36,81.63,101.57
200,0.57,15.51,242.07
280,1.54,68.78,125.6
240,2.79,65.1,210.63
160,1.05,55.92,251.13
160,0.97,74.29,258.58
120,1.05,54.08,226.34
200,1.7,21.02,273.48
120,3.27,81.63,280.3
160,2.34,44.9,276.15
280,0.44,11.84,68.76
200,3.03,33.88,306.7
240,0.08,24.69,124.89
160,3.64,30.2,274.3
120,1.74,46.73,239.67
200,3.11,55.92,316.86
160,2.59,77.96,297.31
280,0.32,61.43,90.22
200,3.96,11.84,286.28
120,0.69,41.22,210.39
280,3.23,59.59,149.33
240,2.71,21.02,186.94
240,0.16,10.0,119.59
200,3.6,52.24,310.24
240,1.37,10.0,152.61
160,0.97,50.41,246.04
120,1.29,24.69,217.43
160,1.7,21.02,250.06
240,1.62,30.2,168.21
120,1.74,33.88,233.14
200,0.57,68.78,268.95
200,3.15,22.86,299.92
120,0.65,10.0,193.31
240,1.09,35.71,158.32
160,3.03,90.82,311.16
280,2.34,98.16,158.37
240,0.97,98.16,186.14
240,0.28,81.63,159.41
280,1.7,39.39,114.79
120,0.89,61.43,225.66
240,3.47,17.35,185.93
200,3.39,17.35,294.51
