Concentration,Temperature,Dose(mol%),Response
29.11,283.13,0,1.56
133.29,189.28,1,15.75
108.52,167.51,1,10.9
197.37,159.07,0,10.57
55.29,31.33,12,24.97
142.48,252.96,0,7.5
72.01,250.71,12,27.89
30.95,29.82,3,48.2
149.84,225.36,0,8.33
85.14,111.99,1,6.93
164.81,221.06,0,9.37
35.16,321.47,1,2.23
120.07,245.36,1,13.81
76.3,30.35,1,5.65
65.88,15.78,0,2.88
97.92,115.55,0,4.73
181.88,204.89,1,22.86
179.69,173.54,0,10.1
140.82,233.49,0,7.78
70.09,370.55,0,3.19
179.16,321.36,12,50.41
38.39,195.78,3,54.79
59.4,396.66,12,25.79
165.25,90.66,1,20.82
50.91,308.0,3,67.27
184.33,140.33,0,9.74
171.02,257.78,12,49.92
171.9,275.56,12,50.04
146.42,52.35,3,118.55
54.5,125.87,12,23.59
43.3,64.32,3,66.54
148.35,399.14,12,46.28
91.97,227.96,1,7.72
85.14,111.99,3,82.93
59.4,310.57,1,4.87
44.87,157.24,3,58.13
26.49,209.9,3,44.0
83.92,209.8,1,6.76
52.14,175.59,3,65.68
145.29,98.89,3,117.55
128.48,123.92,0,6.56
156.05,185.4,1,20.76
141.0,300.7,0,7.85
48.72,220.47,12,24.63
55.73,342.6,1,4.28
56.95,154.44,1,3.48
80.85,107.7,3,78.7
125.41,321.11,12,42.38
37.26,327.63,0,1.78
101.34,283.28,12,35.67
152.38,372.38,1,18.88
80.42,366.92,12,30.01
81.29,131.0,1,5.83
135.83,114.44,12,44.55
199.04,174.74,3,165.75
44.26,283.91,12,23.02
85.41,129.47,1,6.98
106.07,99.92,12,37.25
29.73,379.85,12,21.08
61.68,300.95,3,71.21
138.37,80.06,1,17.03
119.72,81.05,0,5.71
48.72,324.05,3,60.95
59.14,396.2,1,3.47
84.79,267.46,3,84.46
80.85,52.24,12,29.67
102.3,41.64,1,10.19
85.49,170.17,1,7.75
48.02,207.33,3,61.13
123.84,103.9,1,14.23
103.44,117.26,3,92.77
159.55,272.45,3,126.49
58.7,321.39,3,69.83
131.89,64.55,0,7.35
108.25,266.01,3,95.35
142.05,272.09,3,111.67
197.72,207.23,3,166.11
181.97,295.55,0,9.71
125.59,346.92,1,14.0
42.77,365.72,12,22.91
95.65,101.25,12,33.79
152.64,308.41,12,48.55
86.72,395.98,3,85.77
71.31,345.89,1,4.83
107.82,54.75,3,91.45
96.35,388.93,12,34.79
125.5,314.95,0,6.66
39.27,336.58,0,2.12
53.8,20.45,0,2.55
61.16,229.38,3,73.36
178.81,195.14,1,23.09
104.75,107.23,3,93.96
160.61,253.26,3,131.06
46.45,208.58,0,2.04
89.26,143.53,3,88.04
40.5,154.69,3,59.16
99.06,34.14,3,92.05
120.34,92.67,1,13.25
46.45,214.78,12,23.18
42.6,33.66,1,2.85
29.81,368.75,3,48.29
143.36,175.45,3,114.3
56.69,70.07,12,24.8
125.85,290.85,12,42.14
184.5,329.03,12,50.5
149.75,247.81,0,8.57
72.01,98.94,1,5.17
68.33,141.34,1,5.22
49.6,135.2,1,3.21
89.26,392.69,12,32.78
85.49,170.17,3,86.19
57.39,260.92,0,2.4
136.36,311.94,1,16.12
110.62,198.55,3,92.23
104.66,92.17,0,5.1
67.11,350.84,0,3.44
49.86,56.01,0,2.0
188.27,374.96,3,152.94
154.3,304.91,3,123.14
149.49,304.92,0,8.36
175.49,17.61,12,49.56
143.1,98.66,12,45.54
103.96,72.57,3,93.33
178.64,15.47,12,49.64
173.47,10.32,1,21.54
42.33,354.83,1,2.59
48.72,153.8,0,1.95
86.63,25.35,1,6.55
31.65,308.51,1,2.14
141.7,398.53,1,18.52
185.73,51.24,3,151.44
179.86,157.79,3,148.97
144.85,277.86,0,7.99
174.52,112.65,0,9.63
157.8,359.21,1,20.66
128.65,327.56,12,42.87
186.26,175.76,3,153.16
65.36,259.68,1,4.64
125.41,263.38,3,97.42
125.94,245.41,12,43.07
43.56,7.2,0,2.18
163.84,109.94,12,49.3
96.17,126.07,12,33.96
177.41,360.86,12,49.9
174.09,339.24,0,9.24
138.02,268.63,12,45.53
141.43,222.15,3,114.89
96.7,134.08,1,9.27
60.46,358.21,1,4.38
28.5,48.82,1,2.32
114.12,27.34,0,5.78
80.59,266.55,0,4.02
157.02,243.16,3,125.19
69.73,167.3,1,5.09
124.19,217.7,0,7.05
148.96,15.74,3,117.37
64.83,197.05,1,4.16
192.73,354.48,1,23.72
69.21,65.05,3,74.01
75.69,103.3,3,80.67
168.4,117.06,12,49.52
95.21,377.48,0,4.73
119.81,351.65,3,102.49
194.22,89.07,0,10.35
66.67,199.01,12,27.48
190.63,270.98,0,9.8
149.66,93.3,12,47.18
58.0,9.31,1,3.89
110.44,335.6,0,6.04
55.47,237.46,0,2.57
187.39,30.72,0,9.91
178.38,4.85,3,145.07
186.69,78.99,3,152.96
154.56,327.13,1,20.35
141.52,287.68,3,114.33
54.15,174.51,12,23.59
101.08,209.5,12,35.24
32.35,215.48,0,1.45
27.54,18.58,1,1.77
186.08,212.63,0,9.73
109.74,378.84,0,5.07
101.86,10.84,1,9.57
33.84,254.56,3,49.29
38.13,363.31,3,54.58
95.91,393.94,1,8.53
103.18,261.86,0,5.23
142.75,170.2,1,17.25
106.33,157.28,0,5.67
197.55,217.68,0,9.85
182.93,139.88,3,147.32
85.41,129.47,3,83.1
54.76,300.47,0,2.54
75.34,379.81,3,73.77
97.22,367.94,3,93.35
199.91,22.82,1,24.81
108.78,208.64,12,38.31
106.68,210.28,1,9.46
184.68,257.56,1,23.33
145.37,311.21,0,7.68
87.07,117.32,0,4.57
161.92,332.78,12,48.67
168.22,159.73,3,134.31
84.97,222.71,1,7.45
105.28,379.38,3,94.06
174.26,125.15,12,48.69
169.97,221.52,1,21.74
60.54,155.68,3,68.35
82.69,157.23,12,30.51
73.76,11.51,1,5.35
73.32,220.76,3,79.46
138.19,275.79,1,17.46
189.32,351.73,0,10.08
119.9,182.37,12,39.7
37.69,14.75,1,2.75
111.93,236.09,3,94.45
183.45,264.12,3,150.49
38.04,111.46,1,2.52
132.33,159.04,1,15.85
86.89,323.95,3,88.17
129.09,283.27,3,101.01
109.65,118.85,3,98.69
131.02,180.55,3,102.95
100.81,62.1,3,92.83
100.55,176.31,3,95.77
157.72,34.04,0,8.46
106.77,68.67,3,95.05
62.64,0.65,12,26.77
90.48,362.59,1,7.56
103.53,358.53,3,93.42
161.13,84.82,1,20.89
143.71,360.28,3,112.38
96.09,278.63,12,33.73
119.28,224.19,12,40.04
96.52,159.6,3,91.83
72.01,57.14,0,3.47
174.44,383.82,12,49.58
191.33,221.69,3,160.73
145.72,237.18,3,118.57
176.28,65.12,0,9.22
158.5,102.71,3,128.68
169.45,214.91,12,49.58
100.64,9.23,12,35.45
54.94,69.28,3,68.06
148.61,8.97,0,8.78
121.04,74.58,3,94.73
35.94,88.34,12,21.58
184.15,249.87,1,23.08
42.6,268.47,12,22.34
73.41,299.15,12,29.07
44.87,239.34,0,1.77
90.13,92.89,3,87.51
173.74,219.81,1,22.15
107.55,285.77,0,5.41
113.42,219.54,0,5.84
42.42,311.95,3,55.74
124.01,174.86,12,41.43
162.97,256.79,12,48.31
137.93,158.77,3,110.09
53.63,148.02,12,24.4
30.6,20.78,0,1.66
78.4,55.5,12,30.24
51.61,290.44,3,65.8
87.51,139.55,1,7.43
133.47,74.21,3,109.35
109.57,286.63,12,36.83
148.35,16.14,0,8.78
88.21,26.6,1,6.87
166.3,133.2,1,21.17
185.47,299.23,3,154.04
140.38,254.87,12,45.8
110.01,65.21,0,5.61
41.55,351.93,12,21.85
68.42,233.46,3,72.5
95.65,370.23,1,8.35
93.46,392.48,0,4.15
73.76,119.83,0,3.3
143.53,194.67,1,17.87
131.89,60.42,3,105.58
116.57,128.02,12,40.53
166.47,397.66,1,21.43
135.31,311.11,12,44.37
51.7,390.34,3,66.12
69.21,181.48,12,27.61
46.19,365.95,3,62.5
68.42,165.42,12,27.6
25.26,239.46,3,45.29
27.36,392.52,0,1.91
26.84,55.8,3,43.24
124.89,139.12,3,102.72
161.92,329.05,3,131.39
86.63,249.93,12,32.51
44.17,339.69,3,59.8
112.81,249.95,0,6.39
182.75,167.01,12,50.16
43.91,331.76,0,1.79
111.58,345.06,0,6.46
34.28,164.15,1,3.15
190.28,251.93,0,10.08
39.36,188.51,0,2.26
175.4,393.47,1,22.6
95.3,242.69,1,8.31
171.46,322.37,3,137.62
171.99,156.84,0,9.37
34.8,371.88,1,2.26
166.73,70.05,0,9.43
93.28,19.99,0,4.76
146.6,181.52,3,114.04
136.79,194.04,0,7.48
70.0,18.09,3,74.25
110.97,42.64,3,93.58
183.72,138.4,12,50.84
189.93,64.03,1,23.8
196.15,276.12,12,51.7
58.88,70.98,1,4.83
177.94,103.93,3,146.94
144.06,252.09,12,45.59
106.5,230.22,12,36.57
131.45,32.95,1,15.31
162.71,345.12,3,127.99
141.08,72.85,3,109.7
72.89,268.63,3,76.49
130.32,129.44,3,104.91
89.52,64.93,12,32.77
131.98,90.71,12,43.17
140.56,219.37,0,7.74
32.0,345.24,1,2.0
71.4,289.65,12,28.62
86.54,304.64,12,31.78
168.83,186.52,0,9.25
141.61,91.38,3,111.53
96.26,315.02,12,33.45
176.19,398.68,3,145.8
193.52,37.2,1,23.74
64.39,51.0,12,26.51
177.41,326.96,0,9.78
50.74,50.82,1,3.16
40.15,342.29,0,1.85
144.06,318.5,0,7.56
156.67,358.95,0,8.49
64.57,169.69,3,70.6
100.64,160.31,1,9.02
79.45,148.19,1,7.26
78.31,276.16,1,6.91
148.44,164.48,0,7.97
138.81,198.86,12,44.9
132.59,88.94,0,7.16
153.69,226.81,3,124.08
196.41,254.47,1,25.04
151.24,29.92,12,46.71
103.79,83.15,1,10.16
77.61,21.73,0,3.7
69.3,364.37,1,4.77
94.51,92.12,12,33.34
32.27,25.42,3,47.65
77.09,189.58,1,5.74
137.32,3.91,1,17.34
188.79,72.71,0,10.04
156.05,304.4,12,49.04
183.98,8.71,12,50.34
38.48,103.14,12,22.13
101.78,81.87,0,4.87
108.78,344.68,0,5.48
100.38,112.99,0,5.12
97.31,291.54,0,5.14
92.76,318.92,1,8.5
133.2,345.74,1,16.85
187.66,336.8,3,156.23
95.21,349.78,12,33.26
166.3,146.96,0,9.35
176.1,170.34,12,49.1
26.66,265.52,0,1.15
77.44,53.53,0,3.36
127.69,103.92,1,14.83
84.62,103.16,1,6.48
122.96,300.7,12,41.79
89.61,385.11,0,4.73
179.34,195.3,3,144.14
115.43,48.23,1,12.67
142.22,296.09,12,45.39
74.29,143.95,12,29.15
30.78,56.37,3,47.17
87.77,386.01,3,85.45
137.23,109.22,12,44.58
157.8,359.21,3,127.07
88.21,312.15,0,3.85
72.54,268.68,1,6.14
130.05,216.75,12,43.38
164.19,276.97,1,20.5
31.39,326.18,1,2.86
92.23,136.83,3,86.4
54.33,285.29,12,24.31
101.43,163.49,1,9.13
188.62,210.04,12,50.42
112.63,216.76,3,97.89
115.35,92.0,1,12.53
177.33,341.07,12,49.95
35.86,393.64,0,1.7
114.99,127.64,1,12.57
193.26,315.13,12,50.46
127.25,305.78,0,6.78
88.91,65.71,3,86.18
176.1,203.77,3,143.03
194.66,199.3,3,164.83
98.54,156.98,0,4.94
26.93,116.86,3,43.91
154.56,327.13,3,124.01
150.1,198.72,12,46.81
52.49,148.78,12,24.05
181.44,185.59,0,9.5
104.4,136.73,3,94.9
34.19,99.72,1,2.41
39.62,74.61,3,59.24
167.7,300.11,0,9.38
119.2,153.73,3,95.03
61.07,213.76,12,26.33
153.34,157.16,12,47.46
59.14,261.22,12,25.69
42.16,290.38,1,2.11
35.42,215.74,1,2.63
91.62,125.07,12,32.58
84.35,387.79,3,85.11
30.25,155.47,1,1.79
168.31,60.97,1,21.69
103.26,267.23,3,95.81
41.02,350.94,1,2.75
190.81,8.29,12,50.24
157.89,97.39,3,123.84
183.1,106.12,12,50.13
30.87,320.88,1,2.56
101.6,82.23,12,34.49
96.26,347.96,3,91.97
195.45,240.98,0,10.28
69.21,65.05,1,4.81
31.04,394.75,1,1.74
163.14,242.84,3,129.67
162.18,38.21,1,21.07
37.69,299.53,12,21.91
159.64,269.6,0,8.79
125.24,351.45,1,14.36
49.42,28.37,0,2.26
188.53,52.69,1,23.12
148.87,376.8,12,46.62
108.08,302.27,12,36.63
52.05,125.3,12,23.51
164.19,380.58,0,9.36
94.51,7.24,1,7.89
83.74,358.71,1,5.89
105.45,56.05,3,94.13
195.1,157.24,0,9.42
84.18,44.82,1,6.43
87.59,390.88,12,31.91
42.95,3.68,1,2.12
200.0,112.87,1,24.53
105.98,8.99,1,9.66
147.39,99.6,0,8.79
169.45,307.78,0,9.41
194.48,107.93,1,24.43
38.22,95.82,1,2.55
79.63,247.3,3,83.78
126.03,247.44,1,15.33
35.24,74.63,3,49.09
155.35,179.48,1,20.71
148.7,22.83,1,20.31
79.45,345.88,12,30.13
184.24,152.78,3,150.27
154.21,323.14,1,19.89
169.45,14.46,1,21.89
106.42,39.13,12,36.83
117.71,380.57,0,6.04
38.92,299.53,0,1.94
72.1,301.37,0,2.83
115.87,26.14,3,97.53
54.68,39.13,1,3.14
180.57,130.16,12,50.4
83.3,170.61,12,30.35
48.11,242.84,0,2.27
139.68,32.05,1,17.34
83.22,118.12,0,3.45
151.76,377.85,3,122.24
44.0,298.6,1,2.52
179.95,183.78,1,22.76
142.83,138.37,3,107.73
115.96,237.2,12,39.54
196.76,11.46,0,10.19
167.61,30.82,12,50.3
118.23,295.03,3,95.6
196.94,4.52,0,9.99
116.75,159.04,0,6.22
195.45,260.78,12,51.05
169.1,51.09,1,21.47
35.51,322.98,3,53.25
77.7,299.46,0,3.33
109.04,33.12,3,96.18
135.66,225.53,12,44.14
56.95,235.78,12,25.62
100.9,72.77,3,92.96
134.87,57.14,0,7.36
83.74,358.71,3,78.75
179.69,190.41,3,147.34
145.2,280.33,12,46.58
148.87,374.64,3,119.05
87.86,49.72,1,7.32
83.04,94.89,3,81.42
133.03,260.67,1,15.57
31.3,2.21,1,2.06
38.83,274.75,12,22.26
182.58,118.54,0,9.39
67.11,278.3,1,4.34
29.29,5.67,12,20.62
140.73,306.61,0,7.23
156.05,185.4,3,126.47
165.95,352.03,3,133.36
101.51,10.15,1,9.49
138.46,259.33,0,8.05
43.47,321.96,0,2.09
30.95,29.82,1,2.24
150.89,181.09,12,47.46
188.18,393.87,1,24.28
174.17,175.8,1,22.32
165.6,378.02,12,48.9
111.49,98.56,1,11.43
174.09,202.46,3,144.31
191.33,45.7,12,50.84
126.55,330.33,3,96.12
87.51,139.55,3,84.93
106.24,301.7,0,5.85
131.19,317.92,3,106.25
181.79,196.56,12,50.21
152.46,200.14,0,8.73
133.38,246.52,0,7.27
159.29,74.83,12,48.64
194.57,41.92,12,50.87
39.79,236.36,1,2.07
65.71,149.95,3,72.73
167.52,317.04,0,8.73
86.37,275.19,12,30.64
167.08,349.63,0,9.19
81.47,356.21,3,81.08
190.72,105.6,12,51.42
195.89,239.29,1,24.0
155.62,90.91,1,19.82
171.11,326.98,1,22.05
191.51,156.06,12,50.85
175.75,121.31,1,22.65
133.82,147.49,12,44.21
168.83,249.43,1,21.76
139.07,340.08,12,45.1
48.55,204.95,0,2.06
186.08,25.41,12,49.5
165.51,73.14,0,8.86
168.83,284.83,12,50.26
84.0,164.16,1,6.26
193.78,379.84,12,50.23
80.42,66.78,0,3.78
77.96,184.31,3,83.41
194.92,38.07,12,50.71
45.49,78.1,3,65.13
153.08,314.0,12,46.91
46.54,25.46,0,1.74
147.74,14.67,1,19.62
185.38,388.36,12,50.77
114.47,369.76,3,96.58
85.23,307.8,3,85.15
114.73,149.57,0,5.84
25.53,150.63,12,20.09
123.49,194.84,12,42.18
167.87,265.96,3,134.58
184.07,307.69,3,150.63
25.61,310.68,0,1.27
134.34,252.57,0,6.73
175.23,23.11,1,22.39
190.28,290.58,3,157.33
179.08,181.75,3,150.36
42.95,367.23,0,2.03
160.08,137.06,0,8.5
187.48,141.87,0,9.54
141.96,79.82,1,17.52
69.3,364.37,3,73.85
103.35,81.99,1,10.21
190.02,184.62,3,158.58
173.3,138.03,0,9.72
96.79,321.14,1,8.49
149.84,343.33,12,47.26
121.04,40.76,0,6.56
142.75,170.2,3,109.81
69.03,255.95,12,27.35
65.01,83.61,12,26.19
25.53,23.23,1,2.61
132.77,243.1,0,6.57
83.92,321.25,12,30.24
123.75,380.6,0,6.6
173.12,159.47,3,142.87
166.65,223.11,3,133.79
186.87,27.38,0,9.51
156.67,204.99,12,47.76
51.35,228.82,0,1.89
142.92,148.42,1,18.49
37.87,143.12,0,1.5
111.14,291.28,1,11.47
96.52,280.65,12,33.94
82.43,113.51,1,6.75
98.62,62.43,12,33.95
97.84,58.42,12,34.38
26.75,385.36,0,1.54
25.96,32.97,12,19.19
180.92,360.7,3,148.75
43.21,2.02,1,2.86
29.03,295.06,12,20.81
193.08,278.25,1,23.16
189.76,97.73,12,51.17
199.82,27.58,1,24.44
164.81,31.77,3,136.92
93.72,363.38,3,90.65
177.85,265.41,0,8.99
90.22,359.83,1,7.47
63.34,231.05,12,26.43
120.69,205.08,3,98.72
179.25,212.58,0,9.45
150.54,282.96,0,8.98
56.52,155.27,3,69.43
43.56,210.03,12,23.47
110.36,370.22,12,38.9
137.76,13.28,3,106.98
129.53,18.3,1,14.45
71.57,117.85,0,3.34
104.66,236.12,1,10.0
193.7,192.39,3,161.12
163.06,256.79,1,21.49
137.49,57.56,12,45.25
67.63,345.42,0,2.94
158.68,286.4,12,48.46
55.99,28.23,3,68.08
87.33,188.63,3,83.82
159.82,283.62,1,20.55
133.12,147.41,1,16.81
163.49,237.79,1,20.45
170.15,297.8,12,49.15
172.16,390.24,3,140.11
112.46,178.4,3,97.13
47.5,278.41,3,61.28
195.1,149.8,12,50.03
66.85,387.72,3,79.92
149.14,378.76,12,46.19
124.62,192.23,1,14.52
56.43,305.58,12,25.61
144.58,119.56,12,46.35
98.71,71.21,3,89.03
98.01,159.13,0,4.74
56.78,218.25,1,3.86
79.1,322.48,3,81.26
154.56,61.48,0,8.43
110.09,293.03,1,11.68
106.94,27.13,12,36.96
44.61,106.08,1,2.43
179.51,129.87,1,22.27
81.29,131.0,3,78.52
164.02,50.4,0,9.4
141.26,56.13,0,7.4
141.52,287.68,1,18.35
83.74,158.05,0,4.06
80.42,212.85,1,6.24
124.01,198.35,3,100.53
157.19,325.19,1,19.71
36.38,320.66,12,21.12
195.1,283.07,1,24.2
191.42,2.09,1,23.81
65.62,384.87,1,4.59
146.51,387.93,3,115.55
170.32,240.24,3,140.96
85.76,45.93,1,7.5
61.59,357.36,12,26.12
102.65,95.27,3,92.13
133.9,304.41,3,105.11
155.18,278.19,3,119.66
124.89,368.31,0,6.01
38.57,96.82,1,2.04
165.68,176.37,12,49.44
46.45,371.33,3,61.06
36.99,281.21,3,52.39
188.53,322.3,12,50.35
156.14,151.91,1,20.68
112.72,100.19,0,5.69
138.02,350.94,0,6.77
75.16,248.83,1,5.61
75.43,58.83,3,78.71
193.96,231.99,1,23.63
167.08,23.32,12,48.56
108.78,18.79,1,11.22
94.86,278.66,3,89.18
41.11,266.44,12,22.43
26.23,72.73,3,39.68
146.07,103.83,0,8.33
105.02,89.72,0,5.49
67.72,235.49,0,2.97
107.9,360.01,1,10.47
145.99,387.76,3,119.42
187.13,344.55,3,152.74
87.51,303.27,12,32.12
155.0,237.14,0,8.39
76.04,179.74,0,3.79
116.13,316.29,1,12.26
49.69,150.23,3,67.88
