Concentration,Temperature,Dose (mol%),Response
152.86,234.35,5,65.99
306.22,64.73,5,60.57
292.59,175.04,5,70.24
149.25,126.86,5,69.47
47.46,170.09,5,69.5
145.02,168.28,5,70.82
141.97,130.58,5,70.46
156.7,219.83,5,65.02
296.36,32.32,5,59.17
72.71,173.91,5,69.98
0.05,31.3,5,58
212.63,170.42,5,70.5
335.67,150.84,5,74.92
373.08,90.73,5,62.47
326.71,67.1,5,61.88
88.83,55.95,5,60.29
387.23,108.97,5,65.25
147.11,39.41,5,59.01
247.67,210.27,5,64.52
49.31,233.45,5,65.41
33.42,100.86,5,62.5
217.74,212.29,5,65.39
72.31,247.97,5,66.19
60.82,146.9,5,75.29
362.82,241.33,5,65.94
200.16,36.14,5,58.63
36.94,157.7,5,72.75
390.14,133.5,5,71
355.65,114.14,5,66.53
241.4,28.26,5,58.07
265.69,95.69,5,62.74
352.39,131.25,5,71.42
108.32,89.38,5,62.46
66.94,127.09,5,69.87
317.04,146.56,5,74
116.02,75.65,5,61.35
340.46,206.1,5,64.24
373.5,170.2,5,70.75
0.26,146.34,5,74.87
377.48,53.59,5,59.15
285.28,38.96,5,59.22
193.52,241.9,5,66.37
76.04,53.25,5,60.34
217.7,90.85,5,62.51
366.91,201.49,5,63.31
105.85,117.75,5,67.04
387.41,82.07,5,61.37
238.74,125.06,5,69.57
337.08,32.88,5,58.71
216.12,205.99,5,64.52
276.94,197.44,5,64.73
237.42,52.8,5,59.53
211.98,188.21,5,66.75
58.92,48.86,5,60.07
276.35,127.31,5,70.64
321.2,220.96,5,65.17
237.94,165.02,5,71.37
164.91,215.9,5,64.45
60.19,158.04,5,73.69
121.58,65.63,5,61.48
96.21,190.8,5,66.03
96.61,101.31,5,63.78
38.66,207.45,5,63.73
16.02,147.57,5,74.32
235.2,248.65,5,67.18
336.87,232.89,5,65.54
51.87,136.09,5,72.1
117.63,195.19,5,64.7
262.94,37.49,5,58.82
395.37,192.37,5,64.8
322.17,188.54,5,67.82
264.41,68.11,5,60.61
157.24,182.02,5,68.05
74.11,143.63,5,73.2
128.46,109.98,5,66.71
357.02,61.47,5,59.93
394.93,207.68,5,64.13
299.99,113.58,5,66.49
296.76,66.42,5,60.81
176.73,229.74,5,65.29
108.16,32.77,5,58.2
322.67,121.46,5,68.39
108.26,191.92,5,65.58
69.86,200.03,5,64.19
132.54,215.33,5,64.68
268.95,190.91,5,65.61
319.91,227.38,5,66.18
377.78,78.8,5,63.13
11.67,56.63,5,60.44
74.66,210.38,5,65.12
118.37,200.14,5,64.47
135.23,219.61,5,66.1
283.09,48.64,5,59.86
142.85,58.43,5,60.38
190.04,237.06,5,66.21
28.46,231.32,5,66.02
157.09,98.27,5,63.45
130.72,163.78,5,73.26
373.77,194.06,5,64.9
230.24,242.35,5,66.79
71.74,128.1,5,70.05
323.61,136.77,5,71.48
4.57,73.29,5,60.34
268.44,179.2,5,68.49
78.77,51.9,5,60.22
249.85,123.94,5,69.34
305.78,94.78,5,62.26
208.58,53.81,5,60.55
116.95,93.77,5,62.56
159.61,86.23,5,60.85
309.12,111.78,5,65.55
16.1,184.72,5,67.62
78.57,142.17,5,72.89
360.96,226.36,5,66.25
27.49,110.43,5,65.85
236.26,68,5,59.8
159.15,149.15,5,74.73
187.64,134.52,5,70.96
51.15,64.62,5,61.07
142.64,205.65,5,63.86
159.12,230.42,5,66.05
162.72,141.61,5,72.37
81.78,149.6,5,74.38
45.32,80.6,5,62.47
240.62,69.23,5,61.86
132.79,199.01,5,63.72
122.71,77.23,5,61.43
282.96,124.72,5,69.23
326.96,159.28,5,73.12
89.72,66.2,5,60.86
332.25,238.07,5,66.23
382.69,235.82,5,66.54
155.76,108.74,5,65.36
42.36,84.54,5,61.52
85.97,115.27,5,66.71
360.97,162.66,5,72.42
299.94,247.64,5,66.47
321.67,239.42,5,66.59
48.18,216.23,5,65.06
191.41,198.79,5,63.97
244.73,172.79,5,70.27
40.72,59.44,5,60.93
255.11,212.52,5,64.25
164.48,122.02,5,69.06
240.36,201.26,5,64.11
61.93,84.65,5,62.3
77.55,98.61,5,64.19
139.01,166.71,5,71.3
337.46,51.23,5,59.42
295.44,38.51,5,59.3
373.89,216.01,5,64.62
354.44,131.82,5,70.76
196.44,94.45,5,62.99
24.72,157.59,5,72.84
202.38,59.55,5,60.01
151.64,40.2,5,59.79
365.82,87.36,5,62.33
245.46,213.31,5,64.34
329.19,90.62,5,63.51
277.37,209.59,5,64.59
287.5,100.41,5,63.72
12.46,118.87,5,67.51
340.14,37.27,5,58.78
282.5,156.02,5,74.19
9.58,245.5,5,66.84
278.87,189.78,5,65.96
160.58,219.5,5,65.35
85.88,164.79,5,71.45
24.88,48.75,5,60.15
70.86,223.89,5,65.35
9.99,151.06,5,75.32
141.71,101.43,5,63.98
104.53,244.48,5,65.78
383.92,231.88,5,65.9
322.83,71.26,5,60.52
62.73,174.02,5,69.75
248.19,113.02,5,66.31
171.38,176.39,5,68.45
304.92,123.37,5,68.59
339.98,210.94,5,64.75
186.68,168.85,5,70.95
