Concentration,Temperature,Doping (mol%),Response
94.9,165.06,0,1.4
197.05,190.76,0,2.19
42.19,274.71,3,4.02
337.82,221.93,0,3.01
173.54,174.02,6,3.24
326.83,197.62,0,2.4
350.05,282.44,3,4.03
19.85,234.27,3,5.63
239.16,153.78,6,1.79
337.74,273.33,0,2.94
298.83,265.18,3,4.26
82.57,216.11,0,3.04
173.93,219.12,0,3.02
14.94,170.38,6,2.52
69.28,173.95,6,3.6
23.02,179.69,6,5.11
209.98,285.94,9,3.06
54.73,219.82,6,11.47
362.59,202.39,0,2.41
216.25,171.15,0,1.61
224.26,285.31,0,2.34
257.03,286.99,6,3.66
122.67,159.17,9,1.71
274.08,261.78,9,4.94
252.96,209.58,3,4.34
297.4,231.45,0,3.09
32.21,285.87,9,2.85
136.75,232.71,0,3.45
262.69,207.25,3,4.12
87.3,225.5,0,3.24
263.8,210.86,3,4.52
284.53,238.17,9,5.82
218.38,215.2,9,6.96
96.12,271.41,3,4.24
122,207.85,9,7
380.58,228.19,3,5.97
32.65,242.31,6,8.18
7.24,205.61,6,10.2
110.53,186.54,3,1.64
290,226.31,3,5.68
207.54,207.08,0,2.46
332.25,200.15,0,2.42
252.62,245.46,6,7.59
103.16,215.06,0,2.82
249.19,245.39,0,3.83
327.19,231.59,6,11.12
349.63,230.67,3,5.91
382.48,177.87,9,3.63
308.36,218.7,6,11.43
114.58,165.97,9,2.36
194.97,214.5,0,2.71
116.49,151.33,6,0.69
303.14,173.18,6,2.87
74.05,219.96,9,6.75
158.1,249.2,3,4.84
183.85,271.23,9,4.59
340.45,167.65,0,1.63
182.62,195.8,9,5.68
120.8,237.12,9,5.93
313.5,214.98,3,4.9
396.5,261.43,6,4.77
149.95,182.57,0,1.85
141.18,184.89,3,1.7
7.88,211.77,0,2.7
241.26,217.3,6,11.94
83.86,222.98,9,6.44
389.02,166.81,9,2.31
335.25,251.34,6,7.63
373.77,262.71,3,4.4
288.83,284.12,0,2.38
124.14,238.38,0,3.59
256.25,169.73,3,1.39
264.55,276.48,0,2.77
124.39,155.88,6,0.85
220.87,278.79,9,3.74
73.94,285.89,3,4.08
310.1,235.84,3,5.63
387.4,277.95,6,5.72
111.46,160.44,0,1.19
25.94,285.1,0,2.59
106.53,172.34,9,2.65
158.77,240.35,0,3.65
207.69,201.18,3,3.26
5.24,208.83,0,2.66
321.52,225.19,3,5.65
216.89,202.88,9,6.36
103.9,229.07,6,10.38
12.2,170.31,6,2.65
90.6,162.12,0,1.26
167.33,186.24,3,1.76
8.38,276.97,0,2.81
252.73,178.99,6,4.78
6.04,188.87,3,1.79
114.92,219.19,9,6.73
171.38,250.93,3,4.63
280.86,202.23,3,3.48
195.13,225.71,3,5.62
330.49,172.2,9,2.84
100,191.67,9,5.21
44.25,203.93,0,2.59
87.28,230.59,3,6.06
254.17,250.48,3,4.81
275.36,219.05,0,3.08
367.84,269.69,9,4.32
392.55,202.32,9,6.37
315.85,179.48,6,5.61
67.9,247.49,0,4.1
108.26,261.28,3,4.48
181.32,210.3,6,10.46
221.39,295.12,3,4.26
144.56,227.59,3,5.77
129.83,253.93,6,7.14
387.72,183.48,0,2.21
112.99,176.19,3,1.57
310.57,177.52,6,5.19
263.48,174.65,6,4.05
319.5,259.04,9,5
387.97,229.61,3,5.69
249.85,215.96,3,5.07
90.66,262.2,6,5.84
91.46,187.96,0,2.09
343.46,179.62,9,3.72
86.61,202.11,9,6.4
67.95,288.82,3,3.95
14.67,248.19,6,8.32
292.09,275.84,3,4.36
226.41,287.69,3,4.07
339.94,227.81,9,6.21
70.15,216.67,6,10.68
25.35,199.3,6,8.85
52.03,233.97,6,10.27
333.13,184.29,3,1.61
271.64,195.31,6,8.7
301.53,185.51,9,4.43
253.05,232.78,0,3.4
272.09,243.64,6,8.16
318.5,295.95,3,3.96
323.52,158.68,9,1.73
182.09,238.45,0,3.45
244.28,186.56,9,4.73
348.62,186.49,9,4.67
171.1,199.16,9,6.11
98.56,219.19,0,2.91
26.18,221.44,9,6.61
103.44,266.31,3,4.38
36.12,161.49,0,1.3
80.11,193.97,3,2.29
358.21,178.36,0,1.81
139.72,206.03,9,6.74
255.65,250.01,0,3.98
276.16,192.65,0,2.33
221.52,265.98,0,3.22
277.47,235.02,0,3.37
165.42,257.43,0,3.58
35.15,240.07,0,3.42
345.24,155.6,0,0.97
198.62,216.88,9,7.09
313.08,184.11,9,4.23
202.25,198.55,3,2.95
30.5,166.66,3,1.49
139.88,212.26,9,7.14
256.24,267.52,9,4.89
362.44,151.73,3,0.9
321.67,292.95,3,4.04
143.39,155.46,6,1.3
219.26,266.61,3,4.36
40.42,270.67,6,5.76
195.46,234.32,6,9.57
305.27,269.06,9,4.78
148.87,278.86,6,4.91
4.4,216.18,6,10.78
347.36,255.58,3,4.81
296.36,154.88,3,1.26
270.01,173.81,9,2.9
227.09,228.34,3,5.86
120.59,198.18,9,6.07
303.1,284.75,9,3.12
201.09,202.04,6,10.18
68.21,152.17,0,1.06
257.56,277.74,6,5.11
304.41,237.12,6,8.85
135.95,222.56,6,10.32
365.82,191.57,3,2.05
227.82,241.82,9,5.68
136.32,177.59,6,4.88
134.8,247.63,6,7.61
48.75,257.5,0,3.47
48.18,277.49,3,4.21
111.4,200.85,9,6.23
111.46,229.16,3,5.87
92.59,255.5,3,4.52
190.41,273.75,0,2.83
181.74,195.1,3,2.4
72.47,253.78,3,4.65
91.38,243.29,0,3.71
357.02,158.26,0,1.2
100.1,172.34,6,3.08
161.1,293.47,3,4.06
53.01,267.94,0,2.99
256.14,260.8,9,5.27
368.34,206.94,6,11.01
138.19,280.57,3,4.13
126.12,222.77,6,11.43
321.12,219.56,3,5.25
192.23,229.7,6,10.44
242.84,260.52,0,3.4
149.71,180.96,6,4.06
308.08,253.09,9,5.28
390.28,229,9,6.03
78.77,167.93,3,1.53
287.62,217.65,0,2.82
226.92,257.99,0,3.77
75.49,164.43,9,2.06
170.47,234.74,0,3.27
183.08,157.58,3,1.15
206.68,173.86,3,1.59
